Date,DMI
01-03-1942,-0.079
01-04-1942,-0.215
01-05-1942,-0.383
01-06-1942,-0.727
01-07-1942,-0.382
01-08-1942,-0.793
01-09-1942,-0.555
01-10-1942,-0.208
01-11-1942,-0.33
01-12-1942,-0.32
01-01-1943,-0.294
01-02-1943,-0.057
01-03-1943,-0.127
01-04-1943,-0.019
01-05-1943,0.033
01-06-1943,0.363
01-07-1943,0.409
01-08-1943,0.333
01-09-1943,-0.262
01-10-1943,-0.156
01-11-1943,-0.121
01-12-1943,-0.157
01-01-1944,0.032
01-02-1944,0.422
01-03-1944,-0.012
01-04-1944,-0.041
01-05-1944,0.497
01-06-1944,0.093
01-07-1944,0.363
01-08-1944,0.343
01-09-1944,0.382
01-10-1944,-0.22
01-11-1944,0.015
01-12-1944,0.4
01-01-1945,0.051
01-02-1945,0.274
01-03-1945,0.372
01-04-1945,-0.122
01-05-1945,-0.346
01-06-1945,-0.35
01-07-1945,-0.211
01-08-1945,-0.352
01-09-1945,-0.208
01-10-1945,-0.138
01-11-1945,-0.063
01-12-1945,-0.101
01-01-1946,0.253
01-02-1946,0.171
01-03-1946,-0.055
01-04-1946,-0.354
01-05-1946,0.505
01-06-1946,-0.111
01-07-1946,0.154
01-08-1946,0.455
01-09-1946,0.317
01-10-1946,0.206
01-11-1946,0.242
01-12-1946,-0.016
01-01-1947,-0.105
01-02-1947,0.216
01-03-1947,0.17
01-04-1947,0.014
01-05-1947,0.319
01-06-1947,0.148
01-07-1947,-0.31
01-08-1947,-0.351
01-09-1947,-0.573
01-10-1947,-0.432
01-11-1947,-0.042
01-12-1947,-0.03
01-01-1948,-0.111
01-02-1948,0.029
01-03-1948,0.193
01-04-1948,0.097
01-05-1948,0.133
01-06-1948,0.263
01-07-1948,0.051
01-08-1948,-0.149
01-09-1948,-0.26
01-10-1948,0.086
01-11-1948,-0.11
01-12-1948,-0.277
01-01-1949,0.209
01-02-1949,0.356
01-03-1949,0.051
01-04-1949,0.362
01-05-1949,0.128
01-06-1949,0.203
01-07-1949,0.297
01-08-1949,0.308
01-09-1949,0.291
01-10-1949,0.249
01-11-1949,-0.12
01-12-1949,-0.097
01-01-1950,0.144
01-02-1950,-0.363
01-03-1950,-0.521
01-04-1950,-0.273
01-05-1950,-0.092
01-06-1950,-0.287
01-07-1950,-0.037
01-08-1950,0.078
01-09-1950,-0.243
01-10-1950,-0.21
01-11-1950,0.047
01-12-1950,0.202
01-01-1951,0.446
01-02-1951,0.398
01-03-1951,0.423
01-04-1951,-0.309
01-05-1951,0.073
01-06-1951,0.027
01-07-1951,0.093
01-08-1951,0.417
01-09-1951,0.376
01-10-1951,0.203
01-11-1951,0.382
01-12-1951,0.153
01-01-1952,0.116
01-02-1952,0.262
01-03-1952,0.287
01-04-1952,0.268
01-05-1952,0.069
01-06-1952,0.226
01-07-1952,-0.114
01-08-1952,-0.159
01-09-1952,-0.214
01-10-1952,-0.164
01-11-1952,0.103
01-12-1952,0.205
01-01-1953,0.491
01-02-1953,0.463
01-03-1953,0.35
01-04-1953,0.145
01-05-1953,0.528
01-06-1953,0.089
01-07-1953,0.128
01-08-1953,0.063
01-09-1953,0.144
01-10-1953,0.066
01-11-1953,0.127
01-12-1953,0.11
01-01-1954,-0.158
01-02-1954,-0.089
01-03-1954,0.01
01-04-1954,0.181
01-05-1954,-0.333
01-06-1954,-0.297
01-07-1954,-0.535
01-08-1954,-0.327
01-09-1954,-0.331
01-10-1954,-0.454
01-11-1954,-0.178
01-12-1954,0.175
01-01-1955,0.133
01-02-1955,0.036
01-03-1955,0.188
01-04-1955,0.159
01-05-1955,-0.47
01-06-1955,-0.173
01-07-1955,-0.126
01-08-1955,-0.126
01-09-1955,-0.349
01-10-1955,-0.344
01-11-1955,0.003
01-12-1955,-0.064
01-01-1956,0.088
01-02-1956,0.165
01-03-1956,0.171
01-04-1956,-0.097
01-05-1956,-0.348
01-06-1956,-0.606
01-07-1956,-0.763
01-08-1956,-0.466
01-09-1956,-0.407
01-10-1956,-0.286
01-11-1956,-0.24
01-12-1956,0.082
01-01-1957,-0.25
01-02-1957,-0.374
01-03-1957,-0.028
01-04-1957,-0.101
01-05-1957,-0.108
01-06-1957,-0.252
01-07-1957,-0.172
01-08-1957,0.041
01-09-1957,0.005
01-10-1957,-0.146
01-11-1957,-0.218
01-12-1957,-0.026
01-01-1958,-0.218
01-02-1958,-0.057
01-03-1958,-0.207
01-04-1958,-0.145
01-05-1958,-0.277
01-06-1958,-0.639
01-07-1958,-0.749
01-08-1958,-0.959
01-09-1958,-0.911
01-10-1958,-0.584
01-11-1958,-0.402
01-12-1958,-0.406
01-01-1959,0.159
01-02-1959,-0.346
01-03-1959,-0.351
01-04-1959,-0.159
01-05-1959,-0.518
